County,Biome
Adair,3
Alfalfa,2
Atoka,4
Beaver,1
Beckham,7
Blaine,7
Bryan,4
Caddo,7
Canadian,6
Carter,5
Cherokee,3
Choctaw,4
Cimarron,1
Cleveland,6
Coal,4
Comanche,7
Cotton,7
Craig,3
Creek,3
Custer,7
Delaware,3
Dewey,7
Ellis,2
Garfield,2
Garvin,5
Grady,7
Grant,2
Greer,7
Harmon,7
Harper,2
Haskell,4
Hughes,3
Jackson,7
Jefferson,7
Johnston,5
Kay,2
Kingfisher,6
Kiowa,7
Latimer,4
Le Flore,4
Lincoln,6
Logan,6
Love,5
McClain,5
McCurtain,4
McIntosh,3
Major,2
Marshall,5
Mayes,3
Murray,5
Muskogee,3
Noble,2
Nowata,3
Okfuskee,3
Oklahoma,6
Okmulgee,3
Osage,3
Ottawa,3
Pawnee,3
Payne,6
Pittsburg,4
Pontotoc,5
Pottawatomie,5
Pushmataha,4
Roger Mills,7
Rogers,3
Seminole,5
Sequoyah,3
Stephens,7
Texas,1
Tillman,7
Tulsa,3
Wagoner,3
Washington,3
Washita,7
Woods,2
Woodward,2
